slug,provider,offer,actionButtons,requiresLogin,hasCaptcha,requiredMainnetBalance,price,starred,additionalNotes,dripLimitAmount,dripLimitPeriod,tag
alchemy-faucet,Alchemy,,"[""[Faucet](https://www.alchemy.com/faucets)""]",FALSE,TRUE,0.001 ETH,$0,FALSE,"[""Requires mainnet activity"",""Requires to have a low enough existing balance since wallets with a significant amount of testnet tokens are not eligible for additional claims""]",0.1 ETH,24h,
algorand-dispenser-algo,Algorand,,"[""[Faucet](https://lora.algokit.io/testnet/fund)"",""[Docs](https://dev.algorand.co/concepts/accounts/funding/#testnet-faucet)""]",TRUE,TRUE,,$0,FALSE,,,,
astar-faucet,Astar,,"[""[Faucet](https://portal.astar.network/astar/assets)"",""[Docs](https://docs.astar.network/docs/build/environment/faucet/)""]",TRUE,TRUE,,$0,FALSE,,,,
automata-faucet,Automata,,"[""[Faucet](https://l2faucet.com/automata)"",""[Docs](https://docs.ata.network)""]",TRUE,FALSE,,$0,FALSE,,,,
chain-platform-faucet,Chain Platform,Chain Platform Faucet,"[""[Faucet](https://faucet.chainplatform.co/)""]",FALSE,TRUE,,$0,FALSE,"[""Accepts wallet addresses or Ethereum Mainnet ENS names"",""24-hour network cooldown and 3-hour global cooldown""]",0.1 ETH,24h,
chainlink-faucet,Chainlink,,"[""[Faucet](https://faucets.chain.link/)""]",TRUE,FALSE,1 LINK,$0,FALSE,"[""One request for native tokens at time""]",0.5 ETH,2h,
chainlink-faucet-link,Chainlink,,"[""[Faucet](https://faucets.chain.link/)""]",TRUE,FALSE,,$0,FALSE,"[""Provides LINK""]",25 LINK,2h,
chainsafe-faucet,ChainSafe,,"[""[Get tokens](https://faucet.calibnet.chainsafe-fil.io/funds.html)"",""[Docs](https://docs.filecoin.io/build-on-filecoin/developing-contracts/get-test-tokens)""]",FALSE,TRUE,,$0,FALSE,,100 tFIL,,
chainstack-faucet,Chainstack,,"[""[Faucet](https://faucet.chainstack.com/)""]",TRUE,FALSE,0.08 ETH,$0,FALSE,"[""Requires Chaistack API key""]",0.5 ETH,24h,
circle-faucet-eurc,Circle,,"[""[Faucet](https://faucet.circle.com/)"",""[Docs](https://developers.circle.com/stablecoins/eurc-contract-addresses)""]",FALSE,TRUE,,$0,FALSE,"[""Dispenses testnet EURC with no real-world value""]",20 EURC,2h,
circle-faucet-usdc,Circle,Testnet Faucet,"[""[Faucet](https://faucet.circle.com/)"",""[Docs](https://developers.circle.com/stablecoins/usdc-contract-addresses)""]",FALSE,TRUE,,$0,FALSE,"[""Dispenses testnet USDC with no real-world value"",""Request limits apply per wallet address and blockchain""]",20 USDC,2h,
core-faucet,Core DAO,Core Testnet Faucet,"[""[Faucet](https://scan.test2.btcs.network/faucet)"",""[Docs](https://docs.coredao.org/docs/Dev-Guide/core-faucet)""]",FALSE,TRUE,,$0,FALSE,"[""Supports Core Testnet2 (1114)""]",1 tCORE2,24h,
ethglobal-faucet,EthGlobal,ETHGlobal Testnet Faucet,"[""[Faucet](https://ethglobal.com/faucet)""]",TRUE,FALSE,,$0,FALSE,,,24h,
getblock-faucet,GetBlock,,"[""[Faucet](https://getblock.io/faucet/)""]",TRUE,FALSE,0.005 ETH,$0,FALSE,"[""Requires a GetBlock account""]",0.1 ETH,24h,
getsepolia-faucet,GetSepolia,,"[""[Faucet](https://getsepolia.2bd.net/)""]",FALSE,FALSE,,,FALSE,,0.02 ETH,24h,
ghost-faucet,GHOST,,"[""[Faucet](https://ghostchain.io/faucet/)""]",FALSE,FALSE,,$0,FALSE,"[""No KYC, geographic restriction, or minimum mainnet balance requirement""]",,,
google-cloud-faucet,Google Cloud,Web3 Faucet,"[""[Faucet](https://cloud.google.com/application/web3/faucet)""]",FALSE,TRUE,,$0,FALSE,"[""Rate limits apply per Google Account and wallet address and vary by network""]",,,
learnweb3-faucet,LearnWeb3,,"[""[Faucet](https://learnweb3.io/faucets/)""]",TRUE,FALSE,,$0,FALSE,"[""Github authentication required""]",0.01 ETH,24h,
nebulum-faucet,Nebulum,,,FALSE,TRUE,,$0,FALSE,,,,
optimism-superchain-faucet,Optimism,,"[""[Faucet](https://console.optimism.io/faucet)""]",TRUE,FALSE,,$0,FALSE,"[""Supports Ink Sepolia and other OP chains""]",0.1 ETH,24h,
pk910-faucet,PK910 PoW Faucet,,"[""[Faucet](https://www.faucets.pk910.de)"",""[GitHub](https://github.com/pk910/PoWFaucet)""]",FALSE,FALSE,,$0,FALSE,"[""Browser-based proof of work protects the faucet from automated abuse""]",,,
plume-faucet,Plume,,"[""[Faucet](https://faucet.plume.org)""]",FALSE,TRUE,,$0,FALSE,"[""Requires Cloudflare verification challenge before claim""]",,,
quicknode-faucet,QuickNode,,"[""[Faucet](https://faucet.quicknode.com/drip)""]",FALSE,FALSE,,$0,FALSE,"[""Mainnet balance requirement varies by ecosystem"",""Wallet connection is required; sharing or signing in can provide bonus rewards""]",,12h,
rockx-faucet,RockX,,"[""[Faucet](https://access.rockx.com/faucet-hoodi)""]",TRUE,FALSE,,$0,FALSE,,,,
ronin-faucet,Ronin,Ronin Faucet,"[""[Faucet](https://faucet.roninchain.com)"",""[Docs](https://docs.roninchain.com/developers/tools/faucet)""]",FALSE,FALSE,,$0,FALSE,"[""Daily limit: up to 5 requests""]",,24h,
somnia-faucet,Somnia,,"[""[Faucet](https://testnet.somnia.network/)"",""[Docs](https://docs.somnia.network/developer/network-info)""]",FALSE,TRUE,,$0,FALSE,"[""Dispenses STT for Somnia Shannon Testnet; Discord and email requests are documented alternatives""]",,,
stakely-faucet,Stakely,,"[""[Faucet](https://stakely.io/faucet)""]",FALSE,TRUE,,$0,FALSE,"[""Requires sharing the request on X""]",,,
starknet-foundation-faucet,Starknet Foundation,Starknet Sepolia Faucet,"[""[Faucet](https://faucet.starknet.io/)"",""[Docs](https://docs.starknet.io/learn/cheatsheets/integrations)""]",FALSE,TRUE,,$0,FALSE,"[""Official Starknet Sepolia faucet listed in Starknet developer integrations.""]",,,
tatum-faucet,Tatum,,"[""[Faucet](https://tatum.io/faucets)"",""[Docs](https://docs.tatum.io/docs/testnet-faucets)""]",TRUE,FALSE,0.001 native mainnet token,$0,FALSE,"[""Requires a Tatum Dashboard account""]",0.002 ETH,24h,
thirdweb-faucet,Thirdweb,,"[""[Faucet](https://thirdweb.com/faucets)""]",FALSE,TRUE,,$0,FALSE,,0.01 ETH,24h,
tron-nile-faucet,TRON,TRON Nile Faucet,"[""[Faucet](https://nileex.io/join/getJoinPage)"",""[Docs](https://developers.tron.network/docs/getting-testnet-tokens-on-tron)""]",FALSE,TRUE,,$0,FALSE,"[""Official TRON Nile testnet faucet endpoint"",""Rate-limited to one request per 24 hours per wallet and IP (per TRON docs)""]",,24h,
tron-shasta-faucet,TRON,TRON Shasta Faucet,"[""[Faucet](https://shasta.tronex.io/join/getJoinPage)"",""[Docs](https://developers.tron.network/docs/getting-testnet-tokens-on-tron)""]",FALSE,TRUE,,$0,FALSE,"[""Official TRON Shasta testnet faucet endpoint"",""Rate-limited to one request per 24 hours per wallet and IP (per TRON docs)""]",,24h,
